Timestamp,Elapsed_Sec,RSS_MB,VIRT_MB,Delta_CPU_Pct
20260709_213338,0.0,36.52,77.39,0.0
20260709_213339,1.0,47.33,88.04,0.0
20260709_213340,2.01,148.55,219.89,31.8
20260709_213341,3.01,56.43,95.45,-29.0
20260709_213342,4.01,93.14,243.57,4.0
20260709_213343,5.01,131.41,202.91,14.0
20260709_213344,6.02,242.8,307.03,99.7
20260709_213345,7.02,163.69,286.79,-90.9
20260709_213346,8.02,52.43,91.02,-29.0
20260709_213347,9.02,270.6,396.41,83.9
20260709_213348,10.02,83.8,179.08,-79.8
20260709_213349,11.02,206.14,340.16,39.9
20260709_213350,12.02,59.01,136.16,-43.9
20260709_213351,13.03,166.72,301.58,20.0
20260709_213352,14.03,82.53,173.8,-16.0
20260709_213353,15.03,205.45,338.05,34.0
20260709_213354,16.03,47.39,82.5,-37.0
20260709_213355,17.03,260.11,385.36,83.9
20260709_213356,18.03,147.95,283.53,-71.9
20260709_213357,19.03,60.56,124.77,-14.0
20260709_213358,20.03,180.31,255.75,39.9
20260709_213359,21.03,121.36,191.2,-23.0
20260709_213400,22.04,149.46,218.38,12.0
20260709_213401,23.04,103.42,177.64,-19.0
20260709_213402,24.04,224.8,298.43,44.9
20260709_213403,25.04,50.53,89.73,-54.9
20260709_213404,26.04,296.44,371.91,84.9
20260709_213405,27.04,367.86,436.03,99.9
20260709_213406,28.04,111.86,188.45,-171.8
20260709_213407,29.05,323.22,396.73,99.9
20260709_213408,30.05,372.19,439.59,99.9
20260709_213409,31.05,128.0,201.98,-193.6
20260709_213410,32.05,339.04,407.36,98.9
20260709_213411,33.05,53.15,136.21,-117.9
20260709_213412,34.05,136.78,212.32,21.0
20260709_213413,35.05,351.29,420.91,98.9
20260709_213414,36.05,368.62,435.94,99.9
20260709_213415,37.06,231.08,299.07,-152.8
20260709_213416,38.06,235.69,297.95,2.0
20260709_213417,39.06,66.22,143.98,-63.7
20260709_213418,40.07,62.97,102.0,1.0
20260709_213419,41.07,232.35,302.21,82.9
20260709_213420,42.07,223.32,292.0,-25.9
20260709_213421,43.07,52.16,91.29,-61.9
20260709_213422,44.08,286.89,358.71,86.9
20260709_213423,45.08,385.85,452.02,99.8
20260709_213424,46.08,422.52,488.82,99.9
20260709_213425,47.08,203.68,267.38,-233.8
20260709_213426,48.08,298.05,370.63,26.0
20260709_213427,49.08,432.69,503.3,98.9
20260709_213428,50.08,482.22,547.03,99.9
20260709_213429,51.08,73.39,112.14,-260.7
20260709_213430,52.09,146.35,219.48,26.9
20260709_213431,53.09,367.57,438.95,98.6
20260709_213432,54.09,406.84,472.19,100.9
20260709_213433,55.09,127.07,199.82,-226.8
20260709_213434,56.1,335.11,405.44,99.8
20260709_213435,57.1,374.61,438.18,100.9
20260709_213436,58.1,125.64,202.09,-200.6
20260709_213437,59.1,330.67,397.53,99.7
20260709_213438,60.1,82.55,121.46,-102.8
20260709_213439,61.11,122.2,200.1,3.0
