Timestamp,Elapsed_Sec,RSS_MB,VIRT_MB,Delta_CPU_Pct
20260709_222333,0.0,81.71,201.3,0.0
20260709_222334,1.0,23.13,49.55,-4.0
20260709_222335,2.0,23.13,49.55,5.0
20260709_222336,3.0,23.13,49.55,4.0
20260709_222337,4.01,23.14,49.55,4.0
20260709_222338,5.01,24.22,50.42,4.0
20260709_222339,6.01,105.55,252.29,6.0
20260709_222340,7.01,27.39,51.86,4.0
20260709_222341,8.01,28.0,52.38,6.0
20260709_222342,9.01,28.0,52.38,4.0
20260709_222343,10.01,125.05,298.7,6.0
20260709_222344,11.01,52.43,106.49,4.0
20260709_222345,12.02,50.56,98.07,4.0
20260709_222346,13.02,50.56,98.07,7.0
20260709_222347,14.02,50.56,98.07,7.0
20260709_222348,15.02,50.57,98.07,8.0
20260709_222349,16.02,50.57,98.07,7.0
20260709_222350,17.03,58.23,115.6,6.0
20260709_222351,18.03,115.34,385.73,7.0
20260709_222352,19.03,116.7,290.22,1.0
20260709_222353,20.03,89.28,205.41,-40.9
20260709_222354,21.03,176.84,358.39,20.9
20260709_222355,22.04,30.6,54.82,-17.9
20260709_222356,23.04,31.51,56.01,9.0
20260709_222357,24.04,31.26,55.45,7.0
20260709_222358,25.04,31.27,55.45,7.0
20260709_222359,26.05,31.57,56.06,5.0
20260709_222400,27.05,31.57,56.06,5.0
20260709_222401,28.05,31.57,56.06,3.0
20260709_222402,29.05,31.86,55.94,11.0
20260709_222403,30.05,31.86,55.94,4.0
20260709_222404,31.05,42.18,66.26,35.0
20260709_222405,32.06,158.02,263.51,-86.8
20260709_222406,33.06,184.02,285.68,98.9
20260709_222407,34.06,127.32,241.3,-156.8
20260709_222408,35.06,122.27,237.91,0.0
20260709_222409,36.06,203.51,308.48,99.9
20260709_222410,37.06,212.83,316.37,99.9
20260709_222411,38.06,113.38,230.83,-202.7
20260709_222412,39.06,121.23,236.03,2.0
20260709_222413,40.07,170.98,275.4,78.9
20260709_222414,41.07,200.75,304.39,100.9
20260709_222415,42.07,200.82,304.39,99.9
20260709_222416,43.07,199.69,299.73,99.9
20260709_222417,44.07,199.75,299.73,99.9
20260709_222418,45.07,176.66,287.25,-431.5
20260709_222419,46.07,196.79,302.05,99.9
20260709_222420,47.07,202.95,304.07,99.9
20260709_222421,48.08,96.93,229.32,-250.7
20260709_222422,49.08,216.3,415.14,39.9
20260709_222423,50.08,340.04,538.05,99.9
20260709_222424,51.08,481.37,679.77,99.8
20260709_222425,52.08,556.13,756.5,99.8
20260709_222426,53.08,97.02,229.32,99.8
20260709_222427,54.09,213.77,406.45,-394.5
20260709_222428,55.09,345.99,537.85,99.8
20260709_222429,56.09,503.92,696.06,99.8
20260709_222430,57.09,592.39,786.36,100.9
20260709_222431,58.09,622.45,809.48,98.9
20260709_222432,59.09,272.17,463.23,-340.5
20260709_222433,60.09,436.2,630.93,100.8
20260709_222434,61.1,546.39,739.91,99.9
20260709_222435,62.1,635.56,826.62,99.9
20260709_222436,63.1,621.88,810.12,99.7
20260709_222437,64.1,622.76,810.12,99.9
20260709_222438,65.1,622.77,810.12,99.8
20260709_222439,66.1,622.77,810.12,99.9
20260709_222440,67.11,622.77,810.12,99.9
20260709_222441,68.11,622.77,810.12,100.9
20260709_222442,69.11,622.77,810.12,98.9
20260709_222443,70.11,655.18,844.12,99.9
20260709_222444,71.11,655.74,844.12,100.8
20260709_222445,72.11,626.89,810.12,99.9
20260709_222446,73.12,626.95,810.12,99.7
20260709_222447,74.12,627.07,810.12,99.9
20260709_222448,75.12,137.99,298.95,-1583.0
20260709_222449,76.12,231.61,427.65,28.0
20260709_222450,77.12,423.31,626.16,98.9
20260709_222451,78.12,553.71,753.07,100.9
20260709_222452,79.12,209.3,401.49,-205.7
20260709_222453,80.12,348.92,544.67,99.9
20260709_222454,81.13,519.42,711.2,98.9
20260709_222455,82.13,221.25,412.11,-187.8
20260709_222456,83.13,357.73,552.48,100.9
20260709_222457,84.13,513.71,707.4,99.8
20260709_222458,85.13,483.16,671.38,99.8
20260709_222459,86.13,174.14,385.13,-344.6
20260709_222500,87.14,293.57,489.89,73.9
20260709_222501,88.14,472.98,672.54,99.9
20260709_222502,89.14,581.93,781.58,99.9
20260709_222503,90.14,204.79,396.41,-245.7
20260709_222504,91.14,340.59,533.25,99.9
20260709_222505,92.14,519.12,711.26,99.9
20260709_222506,93.14,587.08,777.33,100.9
20260709_222507,94.14,265.82,457.59,-256.7
20260709_222508,95.15,445.77,639.29,99.9
20260709_222509,96.15,553.91,746.81,100.9
